Iteration,Train MSE,Validation MSE,Test MSE,Train Accuracy,Validation Accuracy,Test Accuracy,Train F1 Score,Validation F1 Score,Test F1 Score,Time
10,0.03771223403804733,0.04084557294763688,0.0365971435657388,0.9041696113074205,0.9022046353872244,0.9099954771596562,0.9028009314165895,0.9008419837929379,0.9087623837927401,4026
20,0.024307163091402184,0.029841925604111606,0.026809029512744813,0.9313074204946996,0.9191633691351045,0.9294436906377205,0.9303391931808781,0.9180323528766546,0.928687265277657,7838
30,0.017645403345136302,0.023382513072561496,0.02182249103320579,0.9515194346289753,0.9366873940079141,0.9443690637720489,0.9508455787829679,0.9358144787472685,0.9437105473457461,11567
40,0.015057113107612905,0.02168075282216662,0.019944387190453987,0.9584452296819788,0.9395138496325608,0.9484396200814111,0.9578794412903617,0.9386920976483717,0.9477664583298795,15284
50,0.01326724082423891,0.021002629580477515,0.01865467148608138,0.9640989399293286,0.9412097230073487,0.9538670284938942,0.9636170894735625,0.9404354550507296,0.9532872098281661,18799
60,0.01200153042783144,0.020307498436051844,0.017715361504304326,0.9676325088339223,0.9474279253815715,0.9561284486657621,0.9671952568540374,0.9467147154875085,0.955597377155248,22248
70,0.011178519940663873,0.01966821189537017,0.01674682513716459,0.970600706713781,0.9468626342566422,0.9574853007688828,0.9702301294501132,0.9462224740091278,0.9569153818370453,25820
80,0.010514707482693904,0.019120468890852393,0.016459897084209495,0.9720141342756183,0.9525155455059355,0.9588421528720036,0.9716517523020215,0.9518781063894873,0.9583195448789779,29270
90,0.00981854921961793,0.01876046723782997,0.01621837280581527,0.9739929328621908,0.9519502543810062,0.9615558570782451,0.9736408668198847,0.9512935140558957,0.96110602889367,32822
110,0.00877115230007512,0.0180636924828268,0.015207585754073147,0.9779505300353357,0.9530808366308648,0.9615558570782451,0.9776566051811212,0.9524350695082713,0.9611391874566292,39864
120,0.008411309154950069,0.017845850968651232,0.014798241612390205,0.9785159010600707,0.9536461277557943,0.9620081411126187,0.978230052370863,0.953008477894763,0.9615565202277592,43337
130,0.007998922470694366,0.017330377917553076,0.014307487727038395,0.9797879858657244,0.9536461277557943,0.9601990049751243,0.9795187082813219,0.9530099861204561,0.9597405466243291,46888
140,0.007696582107591406,0.017327748897514476,0.014098702772283058,0.9803533568904593,0.9536461277557943,0.9597467209407508,0.9800957730437676,0.9530093616949963,0.959247200702575,50330
150,0.007407186702247746,0.017347972664430004,0.01405972681069702,0.9826148409893993,0.9530808366308648,0.9620081411126187,0.9823829093445976,0.9524355467117962,0.9615565202277592,53736
160,0.0071087187006626295,0.01722668283739965,0.014044951849299348,0.9828975265017668,0.9559072922555116,0.9615558570782451,0.9826703143667598,0.955303208051545,0.9610790228357738,57360
170,0.006797608023304118,0.0173352178329934,0.014170324794928649,0.9837455830388693,0.9564725833804409,0.9638172772501131,0.9835294430730611,0.9558777618603738,0.9633632414227116,60846
180,0.006597402942840816,0.017361416895826185,0.014143681033819503,0.9840282685512367,0.9559072922555116,0.9647218453188603,0.9838160765051124,0.955303208051545,0.9642694750166898,64469
190,0.006376091992094907,0.017143624046787286,0.014228012855612518,0.9851590106007068,0.958168456755229,0.9642695612844867,0.9849603800555351,0.9576040734849997,0.9638070319775522,68139
210,0.006057598179586995,0.01707595159744327,0.01413121686651448,0.9853003533568905,0.9564725833804409,0.9647218453188603,0.9851036717494743,0.9558820589640035,0.9642694750166898,75479
220,0.005895172457430305,0.017054536823322915,0.013915762035902493,0.9854416961130742,0.9553420011305822,0.9633649932157394,0.9852484531446843,0.9547290929296346,0.9628722458012245,79294
230,0.0057505258824415975,0.01707688487656544,0.01395757512981597,0.9860070671378092,0.9564725833804409,0.9638172772501131,0.9858207943715761,0.9558887533464306,0.9633632414227116,82845
240,0.005577261088023889,0.017071687705202735,0.013595756307375256,0.9865724381625441,0.9553420011305822,0.9656264133876075,0.9863993480300638,0.9547290929296346,0.9651629332698323,86452
250,0.005448515443890752,0.016904865301688637,0.013603626847974129,0.9869964664310954,0.9570378745053703,0.9665309814563546,0.9868301385757257,0.9564527561616141,0.9660830371686725,90110
260,0.005325902257326676,0.016913862476784967,0.013686758973181406,0.986713780918728,0.9570378745053703,0.9656264133876075,0.9865434351872162,0.9564527561616141,0.9651711741704662,93529
270,0.005205911339438094,0.01673897531943314,0.013702696040744793,0.9871378091872791,0.9576031656302996,0.9656264133876075,0.9869742860384405,0.9570242122269577,0.9651662716358889,97009
280,0.005093297461808068,0.016921139443147194,0.013661771916013143,0.9871378091872791,0.9576031656302996,0.9656264133876075,0.986972734674711,0.9570281927650933,0.9651662716358889,100640
290,0.004962783820057109,0.017080914487936322,0.013698971610781879,0.9874204946996467,0.958168456755229,0.9674355495251018,0.9872526372485616,0.9576335636210002,0.9670380270893032,104123
310,0.00476606419010129,0.017117913119993035,0.013342192996188034,0.9879858657243816,0.9576031656302996,0.9669832654907282,0.9878289445511301,0.957034576743227,0.966555880933465,111386
320,0.004707904227552873,0.01717461081522583,0.013269635903331366,0.9877031802120141,0.9576031656302996,0.9647218453188603,0.9875405743248147,0.9570433602687999,0.9642792442944669,114955
330,0.004612819770711375,0.01712691350036632,0.013187712895455889,0.9879858657243816,0.9576031656302996,0.9651741293532339,0.9878289445511301,0.9570433602687999,0.9647322130981745,118509
340,0.004527485168235803,0.017073110638606757,0.01312499480441682,0.9881272084805653,0.9576031656302996,0.9678878335594754,0.9879740302810359,0.9570242122269577,0.9674601961356024,122129
350,0.0044673638957650405,0.01711764688843592,0.013285878252343983,0.9882685512367492,0.958168456755229,0.9674355495251018,0.9881167270474629,0.9576115040517017,0.9670103947346607,125595
360,0.004401105840258982,0.0170801693280449,0.01306921150039154,0.9882685512367492,0.9564725833804409,0.9665309814563546,0.9881180370180652,0.9558820589640035,0.9661018526781477,129105
