Iteration,Train MSE,Validation MSE,Test MSE,Train Accuracy,Validation Accuracy,Test Accuracy,Train F1 Score,Validation F1 Score,Test F1 Score,Time
10,0.2707839665536602,0.27165879832574397,0.2706100965344186,0.4432508833922261,0.4437535330695308,0.44414292175486203,0.5261094674892144,0.5910948825549076,0.591341026108393,33825
20,0.0818679334732327,0.07846790667875032,0.07993176030977137,0.7503886925795052,0.7671000565291125,0.7526006331976481,0.7568517574677458,0.7707385741045011,0.7588113273441799,64999
30,0.07110041110346922,0.0684494116699334,0.06829625131604176,0.8008480565371024,0.8117580553985303,0.804161013116237,0.7974587351664733,0.8085561512221662,0.8008493352931894,97071
40,0.0770244660915903,0.07658930272770366,0.07613552557858039,0.7828975265017668,0.78631995477671,0.7860696517412935,0.783481487376596,0.7884164436637067,0.7870167255100143,128852
50,0.06654927390442829,0.064293016635623,0.06494669382197733,0.8196466431095406,0.8304126625211984,0.8245137946630484,0.8166831172702569,0.8278330141782163,0.8217314727817385,159509
60,0.07243302626343603,0.07102493254262911,0.07156650757915334,0.7918021201413428,0.7976257772752968,0.7919493441881501,0.7880750311736326,0.7940631141846022,0.7882707858391511,191184
70,0.060338129716849855,0.057093771212484976,0.05930746458894034,0.841696113074205,0.8603730921424534,0.8462234283129806,0.844449961610904,0.8632896141532164,0.8501868663347154,222990
80,0.0593791228504504,0.05802999171397253,0.05857229608221416,0.833922261484099,0.8428490672696438,0.8439620081411127,0.8311829184878297,0.8404682735790149,0.8414600894616797,254027
90,0.05935255823748966,0.05739717252534232,0.0585977401618487,0.8381625441696113,0.8535895986433013,0.8376300316598824,0.8361011433701735,0.852180452230688,0.8362789828525161,285766
110,0.05438852284120003,0.053418186280823496,0.05343983633915773,0.8532862190812721,0.8620689655172413,0.8557213930348259,0.8510917366100961,0.8599309527475812,0.8534905165044202,347201
120,0.055589394461894204,0.05485879088005086,0.055530351215031366,0.847773851590106,0.8575466365178067,0.8525554047942108,0.8456000527575708,0.855683466279913,0.8508378368001195,382659
130,0.05513443856510115,0.05402539814858081,0.054805014386369685,0.8541342756183745,0.8598078010175241,0.8534599728629579,0.8521206447464537,0.8580934783398222,0.8518720269542894,416390
140,0.05109328191655865,0.049558578550938676,0.05093613137303347,0.8631802120141343,0.8705483323911815,0.8625056535504296,0.8614310503937833,0.8686358472129396,0.8604187787841688,450662
