Iteration,Train MSE,Validation MSE,Test MSE,Train Accuracy,Validation Accuracy,Test Accuracy,Train F1 Score,Validation F1 Score,Test F1 Score,Time
10,0.18990504150401274,0.18947939024507277,0.18629063753700437,0.5204240282685513,0.5223289994347089,0.5278154681139756,0.475073524247792,0.478846239252616,0.4872624975731174,43770
20,0.12676417297397916,0.12132233241335598,0.13604086631245788,0.6463604240282685,0.6517806670435274,0.6146540027137042,0.673613869644832,0.6801560386233805,0.6464050230077304,84064
30,0.08806926338327235,0.08414895999932664,0.08704652443687601,0.7495406360424028,0.7642736009044658,0.7521483491632746,0.7457737627136344,0.7608686050078867,0.7474990926989986,124225
40,0.10332503578259072,0.10515331725024205,0.1030169388714814,0.6934275618374558,0.6930469191633691,0.6906377204884667,0.6957780795687385,0.6949280706635075,0.6913074049935092,164521
50,0.08711610658005442,0.08609509431386514,0.08658688412215447,0.7475618374558304,0.7540983606557377,0.7412935323383084,0.746885614993411,0.7526078899600489,0.739451399217423,205648
60,0.0593297183008801,0.05837013548549064,0.06135228198690414,0.8398586572438163,0.8377614471452798,0.838082315694256,0.8372570924570639,0.8351602711447207,0.8359683515973407,247006
70,0.06294807165121671,0.061697381242878296,0.06575424124895779,0.8258657243816254,0.8315432447710571,0.8145635459068294,0.8236292339790612,0.829432227807845,0.812844765141857,288834
80,0.06264328571080045,0.06131330623191119,0.06506123188004877,0.8258657243816254,0.8287167891464104,0.8159203980099502,0.82297641375525,0.825894423259026,0.8134978226277443,329697
90,0.07074202722237806,0.06932120102768631,0.07619576212987067,0.7963250883392227,0.8049745618993782,0.7770239710538218,0.7987286690925359,0.8068675057125687,0.7827089883865915,372648
110,0.05861261451783065,0.058522621675732425,0.0634355789404235,0.8457950530035335,0.8451102317693612,0.8281320669380371,0.846261963501361,0.8454930579552621,0.830503841307191,457319
120,0.056809065972588266,0.05642944261761195,0.06232724877253841,0.8491872791519435,0.8451102317693612,0.8263229308005428,0.8522150660932516,0.8475900849685342,0.8319353781920141,484076
130,0.05647443714463253,0.05485911153556993,0.05979331055321827,0.8562544169611307,0.8569813453928773,0.8421528720036183,0.8545322386231372,0.855725813491186,0.8419070008536772,506772
140,0.054769575600295384,0.055222283918440355,0.05944788607187388,0.8554063604240283,0.853024307518372,0.8426051560379919,0.8560707270555783,0.8533649510114375,0.845726887484798,529474
150,0.051817774288966945,0.05091453008028395,0.05425363047077022,0.8668551236749117,0.8699830412662521,0.8584350972410674,0.8647767755872432,0.8679794905683252,0.8564646297048665,551129
160,0.05203186617763642,0.05075649890792249,0.05494430204956645,0.8647349823321555,0.8705483323911815,0.856625961103573,0.8627742111395768,0.8688725208436844,0.8556203151168513,573463
170,0.06691139406334436,0.06647796836933761,0.07274650596704202,0.8130035335689046,0.817976257772753,0.7946630483943917,0.8206451885670566,0.82517676709318,0.8072185271712051,595808
180,0.053432710208345356,0.05285523942478855,0.05647702372689705,0.8604946996466432,0.8648954211418881,0.8507462686567164,0.8582984625450202,0.8629872402916128,0.848969428344941,617953
