Iteration,Train MSE,Validation MSE,Test MSE,Train Accuracy,Validation Accuracy,Test Accuracy,Train F1 Score,Validation F1 Score,Test F1 Score,Time
10,0.12924361228248898,0.1313153078337201,0.12809244194247776,0.6108833922261484,0.6082532504239684,0.6155585707824514,0.6493085696843096,0.6470155538400176,0.6541769317592752,1408
20,0.12901375434711962,0.13102653317620733,0.1278291049325751,0.6122968197879859,0.609383832673827,0.6164631388511985,0.6508741856057814,0.6473126519009255,0.6549182145635761,2764
30,0.12487110787736305,0.12653718102623057,0.12379587092849419,0.6176678445229682,0.6167326172979084,0.6255088195386703,0.6483508246766095,0.6466464125447319,0.6572086220018302,4177
40,0.12369767218439671,0.12534159671044878,0.12231818130204161,0.6195053003533569,0.6246466930469191,0.6255088195386703,0.6466566428439023,0.6521509453342831,0.6549551772449504,5599
50,0.12363625007820048,0.1252907842684182,0.1222548832316616,0.6195053003533569,0.6246466930469191,0.6246042514699232,0.6466566428439023,0.6521509453342831,0.653768266531759,7049
60,0.1150342143105496,0.11625680212592646,0.11407115951854568,0.6549823321554771,0.6574335782928208,0.6612392582541836,0.6782958463241789,0.6812495827623692,0.6861842133590027,8499
70,0.11403027198696018,0.11520483367742528,0.11317066231265645,0.6586572438162545,0.6653476540418315,0.663048394391678,0.6831142507900506,0.6914223575245629,0.690729775637981,9895
80,0.11546731020151199,0.11631193654028188,0.11436523782839773,0.6525795053003534,0.6563029960429622,0.6558118498417006,0.6768389569992891,0.6813727320962876,0.6824186016438913,11212
90,0.11299830991583441,0.11397925992773604,0.1121203058299108,0.6600706713780918,0.6670435274166195,0.6653098145635459,0.6831038310965363,0.6911788725004346,0.6907814972511764,12723
110,0.11022802731359231,0.11123396071004528,0.10931078914707668,0.6675618374558304,0.6743923120407009,0.6766169154228856,0.6864486115637384,0.6927204706464468,0.6978824907049965,15449
120,0.10986950126484349,0.11090481390882402,0.10899895378323522,0.6688339222614841,0.6743923120407009,0.6775214834916328,0.6877336072354681,0.69319005894462,0.6988217165057338,16825
130,0.10903192538032551,0.11004206545277609,0.10864195747481804,0.6761837455830388,0.6828716789146411,0.681592039800995,0.6946163383850973,0.7023086521745112,0.7029465362954895,18139
140,0.10776525490398024,0.10859285719116661,0.10712896811379247,0.6780212014134276,0.6840022611644997,0.6852103120759837,0.6942485291229447,0.7006557960274334,0.7045070875694072,19451
150,0.10702204116191173,0.10775276840343849,0.10633915626399933,0.6822614840989399,0.6902204635387225,0.6879240162822252,0.6976039237980596,0.7057998934067435,0.7052148418999697,20836
160,0.1061729639658521,0.10687723743176517,0.10558837568111003,0.6859363957597173,0.6879592990390051,0.6933514246947082,0.69964749312453,0.7019664788881437,0.7095045754845307,22143
170,0.1048790522400764,0.10575179319271338,0.10452529992573394,0.6931448763250884,0.6919163369135105,0.6978742650384442,0.7048679547047868,0.7036359042813549,0.7118388205036742,23503
180,0.10325798031044461,0.1044601166795821,0.10321479289135282,0.6992226148409894,0.7043527416619559,0.6996834011759385,0.7115334785384356,0.7166969857988492,0.7147350288111874,24803
190,0.09758635282610549,0.0988774112580544,0.09694449201968959,0.7159010600706713,0.7105709440361786,0.7164179104477612,0.7179927252143525,0.7144127092261062,0.7221167180763254,26083
210,0.0953716088001637,0.09677869965236784,0.09509785014298937,0.7225441696113074,0.7184850197851894,0.7200361827227499,0.724629126629612,0.7220879740450025,0.725249528879369,28805
220,0.09342228343270519,0.09458720985762745,0.09289133360709247,0.7269257950530036,0.7247032221594121,0.7200361827227499,0.7271855099203814,0.7263322374819743,0.7228466536402263,30232
230,0.09342181200707766,0.0945868957178998,0.09289137385195971,0.7269257950530036,0.7247032221594121,0.7195838986883764,0.7272151287311103,0.7263322374819743,0.7224477221704209,31477
240,0.09218086794625946,0.09324912344722544,0.09158837863606634,0.7287632508833922,0.7263990955342001,0.7290818634102216,0.7301306426790789,0.7297653053547127,0.7332438963849424,32778
250,0.09209398116918915,0.09316582515882987,0.09159242682373561,0.7297526501766785,0.7247032221594121,0.7281772953414745,0.7313696866327821,0.7282769494462847,0.7325771855384022,34064
260,0.09150443895558123,0.09234824896477026,0.09090646914570137,0.7324381625441696,0.7280949689089882,0.7313432835820896,0.7350701015705032,0.7330689486502139,0.7373717252039342,35334
