Iteration,Train MSE,Validation MSE,Test MSE,Train Accuracy,Validation Accuracy,Test Accuracy,Train F1 Score,Validation F1 Score,Test F1 Score,Time
10,0.19591310913862886,0.19187502414525068,0.19379062608166753,0.5147703180212014,0.5217637083097796,0.5133423790140208,0.40288965438761715,0.4192445151966436,0.4001809144957088,1478
20,0.19448779946127356,0.1903735050007738,0.1922900105304238,0.5156183745583038,0.5240248728094969,0.5133423790140208,0.4045224406920376,0.42458180378580285,0.40170228969907057,2878
30,0.191271028422108,0.18747880091838529,0.1895353896705491,0.5129328621908127,0.5183719615602035,0.5133423790140208,0.3990083152858665,0.4105281923742753,0.4001809144957088,4309
40,0.19033847094543582,0.18619768007417187,0.18852428395386286,0.5077031802120141,0.5144149236856982,0.5079149706015378,0.3994926886522454,0.4160814045981038,0.40283153096435953,5733
50,0.19298016017794736,0.18905310020270802,0.1911301984219471,0.5037455830388693,0.5138496325607688,0.5079149706015378,0.3947574082239554,0.41529675905119584,0.40283153096435953,7180
60,0.2022607729431604,0.19880014375389396,0.20133602502409187,0.49724381625441694,0.5081967213114754,0.49841700587969245,0.38134981743041135,0.3986202062468361,0.37825621905861123,8650
70,0.20202004904697463,0.19856402813433682,0.20111250839089825,0.49724381625441694,0.5087620124364047,0.49841700587969245,0.38134981743041135,0.39932235235967756,0.37825621905861123,10051
80,0.20470677316732924,0.20116046109105587,0.20361699708559822,0.503321554770318,0.5098925946862635,0.5024875621890548,0.38413550125160295,0.3953324825913007,0.3758331943611197,11370
90,0.20376828140168352,0.2002455561990966,0.20264796344072739,0.4990812720848056,0.509327303561334,0.4997738579828132,0.3810236012218172,0.39829765902222664,0.37481700869783124,12895
110,0.20103295792431297,0.19771757007727703,0.20013934253210605,0.49328621908127207,0.5048049745618994,0.49389416553595655,0.3910589203840704,0.4049502740627567,0.38564420772246977,15529
120,0.20144833982535387,0.19843778940031692,0.2006900606751853,0.495547703180212,0.5048049745618994,0.49886928991406604,0.38004100058295,0.3928371527590805,0.3771644859032498,16811
130,0.20038523442596817,0.19678194260813972,0.1991409287727032,0.49286219081272087,0.50423968343697,0.49615558570782453,0.38691226006887625,0.40152200260704674,0.38682365243957917,18113
140,0.20020829793310196,0.1970209249768803,0.19905473926822678,0.4945583038869258,0.50423968343697,0.49615558570782453,0.3917623150559708,0.40557542652251366,0.3880332611003271,19412
150,0.1992063747123778,0.19595709876814987,0.19824206034605,0.49286219081272087,0.5036743923120407,0.49615558570782453,0.3918877076456425,0.40489229417938283,0.3936750141735519,20688
160,0.19854670277998882,0.19550758949211022,0.19779160681785354,0.49286219081272087,0.5019785189372526,0.4970601537765717,0.3925142901903217,0.4028711354109582,0.3957283319054162,22025
170,0.19694278191458048,0.19397269290403704,0.19619546937038967,0.49229681978798584,0.499152063312606,0.49118046132971505,0.3946304175271585,0.39959175189084367,0.3893985273591961,23380
180,0.19613112555515233,0.1932094988978812,0.19537771499506115,0.4910247349823322,0.499152063312606,0.4920850293984622,0.3920964495635058,0.3969725668657179,0.39136267984256345,24653
190,0.1880740030796004,0.183568274836072,0.18666974999223185,0.49342756183745584,0.500847936687394,0.4975124378109453,0.39869940812632554,0.4063951401263367,0.40650852406032983,26051
210,0.18726122721445496,0.18256719728564047,0.1856299231059595,0.4942756183745583,0.50423968343697,0.49886928991406604,0.4025781549495366,0.41484413035252937,0.41050609916496156,28891
220,0.18559575704042933,0.18077106958878555,0.18403452125111297,0.48862190812720846,0.49406444318824194,0.4925373134328358,0.4001834979862031,0.40598295237696513,0.4056558032453465,30284
230,0.1839856281056672,0.17869650742124865,0.18249119642852474,0.49173144876325087,0.499152063312606,0.4970601537765717,0.4060524949352496,0.4154524791394724,0.41429140346424304,31668
240,0.18385454617444533,0.17853394924411228,0.18235357527433882,0.49159010600706715,0.499152063312606,0.4966078697421981,0.40634402972601624,0.4154524791394724,0.41445239026212877,33038
250,0.1835224925223222,0.1783313894807652,0.18207202165769276,0.48975265017667846,0.497456189937818,0.4966078697421981,0.4069324757472615,0.41260015283413326,0.41767889725588353,34278
260,0.1834380836277722,0.1780226970680821,0.18195978917385955,0.48862190812720846,0.49971735443753534,0.4975124378109453,0.412073935232369,0.42681915526176467,0.4270270890680666,35590
270,0.18122680239666675,0.1758646741613451,0.1797403959391885,0.49371024734982333,0.5019785189372526,0.4997738579828132,0.41248818120164926,0.4205148162263429,0.42373064982551367,36883
280,0.18032463335559767,0.1750418479668362,0.1786138541209184,0.49540636042402825,0.5031091011871114,0.501130710085934,0.41458624610545647,0.4243189090609437,0.42646424302122904,38174
290,0.17908814320395688,0.173929694630379,0.1777984483381551,0.4963957597173145,0.50423968343697,0.5038444142921755,0.4182404699535046,0.4321662371313856,0.4329008692023022,39504
310,0.17503635556744263,0.16971000889485466,0.1733714297081584,0.49992932862190814,0.5070661390616167,0.5056535504296699,0.4297882436965368,0.44368879952522006,0.44315899720822866,41988
320,0.16930436504546229,0.1637847742370443,0.16776187441858048,0.511095406360424,0.5178066704352742,0.5178652193577566,0.4484226184916086,0.4594130115135927,0.4607381556168052,43295
330,0.16843108744962412,0.16288878647511307,0.16685701516238474,0.5136395759717315,0.5211984171848502,0.5187697874265038,0.4536202559932098,0.46508396056625584,0.462880033406082,44590
340,0.1380631415835896,0.13496437458543006,0.13955179314570906,0.5819081272084806,0.5895986433013002,0.5861601085481682,0.5859445611907717,0.5938138675547707,0.5893694006268219,45896
350,0.1375642301002135,0.1344903214083309,0.13896076673179647,0.5841696113074205,0.5918598078010175,0.5888738127544098,0.5877668786746488,0.5958096496893054,0.59177222645102,47238
360,0.13809949103838215,0.13506964215996078,0.13956034449944166,0.5807773851590106,0.5862068965517241,0.5843509724106739,0.58483976561122,0.5908217276793554,0.5881031951122787,48554
370,0.1371252962259423,0.13404651777812557,0.13839015941225022,0.583886925795053,0.5884680610514414,0.5897783808231569,0.5875871569866195,0.5921090559759908,0.5925735309275041,49889
